Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
1.06,-5.78,-67.1,-1.6,-3.3,67.2,-17.7,7.3,8.7
1.07,-4.72,-63.8,-2,-3.7,63.9,-18.1,5.2,9.7
1.08,-5.4,-56.7,-2.5,-4.3,56.9,-18.4,2.3,11
1.09,-5.84,-56.4,-1.8,-5.2,56.7,-18.8,-0.9,12.2
1.1,-7.24,-64.5,-2,-5.7,64.8,-19.3,-4.2,13.3
1.11,-8.09,-73.9,-2,-6.2,74.1,-19.9,-6.7,14.2
1.12,-8.26,-83.2,-2,-5.9,83.4,-20.2,-8.2,15.2
1.13,-8.04,-87.7,0.3,-5.6,87.9,-20.1,-8.5,14.7
1.14,-7.4,-86.4,2.3,-5.5,86.6,-19.6,-8.2,12.4
1.15,-6.6,-81.2,2.9,-5.9,81.5,-19.4,-8.1,9
1.16,-5.8,-73.5,2.9,-6.5,73.8,-19.4,-8.9,6
1.17,-5.39,-65.5,3.3,-6.6,66,-19.3,-10.2,3
1.18,-5.08,-59.3,3.8,-6.7,59.8,-19.1,-11.7,-0.1
1.19,-4.94,-55.7,4.1,-7,56.3,-18.8,-13.4,-3.1
1.2,-4.9,-53,4.3,-6.8,53.6,-18.7,-15,-5.9
1.21,-5.21,-51.5,4.1,-6,52.1,-18.9,-15.3,-8.2
1.22,-5.62,-51.9,3.6,-4.9,52.3,-19.7,-13.6,-9.8
1.23,-6,-54.8,3.1,-4.5,55.1,-20.7,-10.5,-11
1.24,-6.31,-59.6,2.7,-4.9,59.8,-21.7,-6.7,-12.4
1.25,-6.55,-62.7,1.9,-5,62.9,-22.2,-4,-13.4
1.26,-6.64,-64.9,1.2,-4.8,65.1,-22.5,-1,-14.2
1.27,-6.49,-65.9,0.6,-4.7,66.1,-22.6,2.2,-14.9
1.28,-6.23,-65.1,-0.1,-4.6,65.3,-22.5,5.3,-15.7
1.29,-6.22,-63.8,-1.9,-4.8,64,-22,8,-15.7
1.3,-6.35,-63.5,-4.1,-5,63.8,-21.3,9.5,-14.1
1.31,-6.5,-64.6,-5.3,-4.8,65,-20.7,10.2,-11
1.32,-6.6,-66.1,-5,-4.5,66.5,-20.3,10.7,-7.6
1.33,-6.61,-67.5,-4.3,-4.5,67.8,-20.1,11.1,-4.7
1.34,-6.49,-68.3,-4.1,-4.6,68.5,-19.9,10.9,-2.2
1.35,-6.39,-67.7,-3.9,-4,68,-19.7,10.5,0.1
1.36,-6.31,-66.6,-3.8,-3.2,66.8,-19.7,11,2.3
1.37,-6.29,-66,-3.6,-2.9,66.2,-19.8,12.1,4.4
1.38,-6.38,-66.5,-3.5,-3.4,66.7,-20.1,12.7,6.6
1.39,-6.57,-68.3,-3.3,-4.3,68.5,-20.5,11.9,8.8
1.4,-6.83,-70.9,-3.1,-5.1,71.1,-20.9,9.5,10.9
1.41,-7.07,-73.7,-2.6,-5.4,74,-21.2,6,12.6
1.42,-7.29,-76.3,-1.8,-5.2,76.5,-21.4,2.5,13.6
1.43,-7.46,-78.5,-0.8,-5,78.6,-21.4,-0.3,13.7
1.44,-7.45,-79.9,-0.3,-5,80.1,-21.1,-2.6,13.1
1.45,-7.01,-80,-0.4,-5,80.1,-20.6,-4.4,12.2
1.46,-6.21,-75.4,-0.4,-5,75.6,-19.9,-6,11.4
1.47,-6.12,-70.9,0.5,-4.9,71,-19.3,-7.3,10.3
1.48,-6.11,-66.9,1.6,-5.2,67.1,-19,-8.2,8.3
1.49,-5.82,-65.3,2.7,-5.7,65.6,-18.9,-9.4,5.7
1.5,-5.85,-63.3,3,-6.6,63.7,-18.9,-11.9,2.2
1.51,-6.29,-63.2,3.7,-6.7,63.7,-18.9,-13.6,-0.6
1.52,-6.89,-66.1,4.5,-6.7,66.6,-18.7,-14.7,-3.6
